Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Adrian Billhardt,RIC,W,148,0.19,USL1,0.11554054054054055
Mitchell Osmond,MAD,CB,237,0.19,USL1,0.07215189873417722
Sergio Chavez,TXO,CB,706,0.18,USL1,0.022946175637393765
Fabrice Ngah,CLT,FB,418,0.18,USL1,0.038755980861244016
Ronald Alexis Cerritos,AVA,ST,266,0.18,USL1,0.06090225563909774
Osvaldo Lay,AVA,DM,401,0.18,USL1,0.04039900249376558
Alon Avrham Dery,TRM,DM,531,0.17,USL1,0.028813559322033902
Nathan Messer,POR,FB,555,0.17,USL1,0.02756756756756757
Anton Sorenson,CLT,FB,521,0.17,USL1,0.029366602687140118
Angelo Kelly-Rosales,KNX,CM,366,0.17,USL1,0.0418032786885246
Patrick Langlois,POR,CM,465,0.17,USL1,0.032903225806451615
Gabriel de Freitas,TRM,CM,717,0.16,USL1,0.0200836820083682
Michael Gonzalez,GVL,W,81,0.16,USL1,0.17777777777777778
Patrick Staszewski,TXO,CB,128,0.16,USL1,0.1125
Camron Miller,SPK,CB,790,0.13,USL1,0.01481012658227848
Samory Powder,WES,FB,690,0.13,USL1,0.016956521739130436
Ropapa Mensah,GVL,ST,352,0.12,USL1,0.030681818181818178
Maciej Bortniczuk,TXO,W,234,0.12,USL1,0.046153846153846156
Andrew Jean-Baptiste,WES,CB,126,0.1,USL1,0.07142857142857142
Gustavo Fernandes,FCN,FB,238,0.09,USL1,0.03403361344537815
Brandon Fricke,GVL,CB,804,0.09,USL1,0.010074626865671642
Collin Fernandez,SPK,DM,480,0.08,USL1,0.015
Ermin Mackic,WES,W,40,0.08,USL1,0.18
Michael Chilaka,MAD,CB,523,0.08,USL1,0.013766730401529637
Mehdi Ouamri,OMA,ST,161,0.07,USL1,0.0391304347826087
Michael Reilly,POR,AM,178,0.06,USL1,0.030337078651685393
Isidro Martinez,OMA,CM,149,0.05,USL1,0.0302013422818792
Preston Kilwien,TXO,CB,674,0.05,USL1,0.006676557863501484
Matthew Bolduc,RIC,W,461,0.05,USL1,0.009761388286334056
Dani Fernández,KNX,CB,658,0.05,USL1,0.006838905775075988
Owen Green,CHA,CB,317,0.05,USL1,0.014195583596214511
Nil Vinyals,SPK,ST,202,0.04,USL1,0.017821782178217824
Donald Benamna,TXO,DM,28,0.04,USL1,0.12857142857142856
Ashkanov Apollon,AVA,ST,43,0.03,USL1,0.06279069767441861
Jaden Jones-Riley,POR,FB,225,0.02,USL1,0.008
Callum Johnson,KNX,CM,288,0.02,USL1,0.00625
Rodolfo Sulia,FCN,ST,37,0.02,USL1,0.04864864864864865
Roscoe Rubinstein,FCN,CM,26,0.02,USL1,0.06923076923076923
Joshua Drack,WES,CB,104,0.02,USL1,0.01730769230769231
Blake Malone,OMA,CB,99,0.01,USL1,0.00909090909090909
Charlie Ostrem,OMA,FB,504,0.01,USL1,0.0017857142857142857
Ivan Agyaakwah,GVL,CB,178,0.01,USL1,0.005056179775280899
Wynand Wessels,CHA,DM,133,0.01,USL1,0.006766917293233083
Brayan Padilla,TXO,W,185,0.0,USL1,0.0
Andrew Richman,RIC,W,17,0.0,USL1,0.0
Ryen Jiba,OMA,FB,16,0.0,USL1,0.0
Landon Johnson,RIC,ST,13,-0.0,USL1,-0.0
Omar Gómez,CHA,CM,238,-0.0,USL1,-0.0
Adam Aoumaich,AVA,FB,70,-0.0,USL1,-0.0
Nzuhri Biggar,GVL,AM,35,-0.0,USL1,-0.0
Jonathan Filipe,CHA,AM,148,-0.0,USL1,-0.0
Sivert Haugli,KNX,DM,485,-0.01,USL1,-0.0018556701030927835
Miles Rice,CLT,ST,68,-0.01,USL1,-0.01323529411764706
Anthony Patti,GVL,AM,26,-0.01,USL1,-0.03461538461538462
Yaniv Bazini,TRM,ST,609,-0.01,USL1,-0.0014778325123152708
Leland Gray,TXO,W,7,-0.02,USL1,-0.2571428571428571
Gharett Morris,CHA,AM,26,-0.02,USL1,-0.06923076923076923
Colby Quinones,POR,FB,188,-0.02,USL1,-0.009574468085106383
Kwaku Owusu,OMA,CB,403,-0.02,USL1,-0.004466501240694789
Juan Moreno,CLT,ST,42,-0.02,USL1,-0.04285714285714286
Gerald Healy,TRM,CB,7,-0.02,USL1,-0.2571428571428571
Christopher Jaime,CLT,DM,19,-0.03,USL1,-0.14210526315789473
Kemy Amiche,OMA,W,239,-0.04,USL1,-0.015062761506276152
Yanis Lelin,CHA,FB,45,-0.04,USL1,-0.08
Mark Hernández,SPK,W,22,-0.05,USL1,-0.20454545454545459
Kimball Jackson,CHA,FB,148,-0.05,USL1,-0.030405405405405407
Lucca Dourado Pereira,MAD,ST,17,-0.05,USL1,-0.2647058823529412
Mikkel Gøling,KNX,CM,581,-0.05,USL1,-0.00774526678141136
Conor Doyle,TRM,CM,94,-0.05,USL1,-0.047872340425531915
Prosper Kasim,OMA,AM,32,-0.06,USL1,-0.16874999999999998
Stavros Zarokostas,KNX,W,463,-0.06,USL1,-0.011663066954643628
Shavon John-Brown,SPK,W,472,-0.06,USL1,-0.011440677966101695
Mink Peeters,WES,ST,85,-0.06,USL1,-0.06352941176470588
Jordan Ayimbila,CHA,FB,461,-0.06,USL1,-0.011713665943600867
Mark Bronnik,OMA,ST,123,-0.06,USL1,-0.04390243902439024
Erick Ceja,AVA,FB,75,-0.06,USL1,-0.072
Jimmie Villalobos,AVA,CM,591,-0.07,USL1,-0.010659898477157361
Nazeem Bartman,MAD,ST,177,-0.07,USL1,-0.03559322033898305
Dane Domic,TXO,ST,25,-0.07,USL1,-0.25200000000000006
Miguel Ibarra,AVA,CM,27,-0.07,USL1,-0.23333333333333336
Scott McLeod,KNX,CB,180,-0.07,USL1,-0.035
Damia Viader I Masdeu,MAD,AM,157,-0.08,USL1,-0.04585987261146497
Babacar Diene,KNX,ST,257,-0.08,USL1,-0.02801556420233463
John Murphy,MAD,CM,388,-0.08,USL1,-0.018556701030927835
Tyler Polak,GVL,FB,745,-0.09,USL1,-0.01087248322147651
Rodrigo Robles,GVL,W,263,-0.09,USL1,-0.03079847908745247
Devin Benton,GVL,FB,375,-0.09,USL1,-0.021599999999999998
Jackson Dietrich,MAD,CM,162,-0.1,USL1,-0.05555555555555555
Lamin Jawneh,TXO,W,502,-0.1,USL1,-0.017928286852589643
Omar Hernandez,CHA,AM,429,-0.1,USL1,-0.02097902097902098
Kemar Lawrence,WES,CB,205,-0.1,USL1,-0.04390243902439025
Brandon Knapp,OMA,AM,339,-0.11,USL1,-0.029203539823008853
Meredith Bryce,SPK,DM,116,-0.11,USL1,-0.0853448275862069
Samuel Mahlamäki Camacho,POR,CB,201,-0.11,USL1,-0.049253731343283584
Reid Valentine,TXO,FB,526,-0.11,USL1,-0.0188212927756654
Pascal Corvino,GVL,W,106,-0.11,USL1,-0.09339622641509435
Max Glasser,FCN,FB,836,-0.11,USL1,-0.011842105263157895
Marc Torrellas,FCN,CM,336,-0.12,USL1,-0.03214285714285714
Max Schneider,OMA,CM,607,-0.12,USL1,-0.017792421746293245
Ismaila Jome,SPK,W,506,-0.12,USL1,-0.02134387351778656
Jake Keegan,POR,W,111,-0.13,USL1,-0.1054054054054054
Kemali Green,POR,CB,200,-0.14,USL1,-0.06300000000000001
Jonathan Kanagwa,RIC,AM,89,-0.14,USL1,-0.1415730337078652
Josh Kirkland,RIC,W,537,-0.14,USL1,-0.023463687150837992
Titus Washington,POR,ST,308,-0.14,USL1,-0.040909090909090916
Laurence Wootton,OMA,CM,242,-0.15,USL1,-0.05578512396694214
Micael DeShields,CLT,CB,269,-0.15,USL1,-0.05018587360594796
Sebastián Vivas,TRM,ST,248,-0.16,USL1,-0.05806451612903226
Pele Ousmanou,CLT,CB,161,-0.16,USL1,-0.08944099378881988
Andre Lewis,SPK,DM,794,-0.16,USL1,-0.0181360201511335
Jake Crull,MAD,CB,610,-0.16,USL1,-0.023606557377049184
Anderson Holt,OMA,CB,205,-0.17,USL1,-0.07463414634146343
Aaron Walker,TRM,W,420,-0.17,USL1,-0.03642857142857143
Juan Galindrez,MAD,ST,541,-0.17,USL1,-0.02828096118299446
Stuart Ritchie,KNX,FB,703,-0.17,USL1,-0.021763869132290187
Devin Boyce,MAD,W,404,-0.17,USL1,-0.03787128712871288
Jack Denton,SPK,CM,351,-0.17,USL1,-0.043589743589743594
Javier Martin Gil,SPK,FB,412,-0.17,USL1,-0.03713592233009709
Rafael Jauregui,CLT,W,729,-0.18,USL1,-0.022222222222222223
Callum Stretch,TRM,CB,505,-0.18,USL1,-0.03207920792079208
Kimarni Smith,KNX,W,130,-0.18,USL1,-0.12461538461538461
