Team_1,Team_1_ID,Team_2,Team_2_ID,Distance_miles
Charlotte Independence,614315,St. Louis CITY SC,1427963,569.8252723511664
Charlotte Independence,614315,Toronto FC,56453,585.2218386069158
Chattanooga Red Wolves SC,1004918,Chicago Fire FC,6397,482.4428865028363
Chattanooga Red Wolves SC,1004918,Detroit City FC,540855,518.0719142452481
Chattanooga Red Wolves SC,1004918,El Paso Locomotive FC,1003209,1242.190618208303
Chattanooga Red Wolves SC,1004918,FC Naples,1701877,648.7053450166334
Chattanooga Red Wolves SC,1004918,Forward Madison FC,1004919,595.4627976337124
Chattanooga Red Wolves SC,1004918,Greenville Triumph SC,1004920,165.82823532699842
Chattanooga Red Wolves SC,1004918,Houston Dynamo FC,8259,691.0174535832183
Chattanooga Red Wolves SC,1004918,Indy Eleven,514649,328.49568206003966
Chattanooga Red Wolves SC,1004918,Las Vegas Lights FC,915809,1674.2142235585516
Chattanooga Red Wolves SC,1004918,Los Angeles FC,867280,1875.9582391947592
Chattanooga Red Wolves SC,1004918,Louisville City FC,614316,223.21655665337468
Chattanooga Red Wolves SC,1004918,Miami FC,721896,708.7065541239588
Chattanooga Red Wolves SC,1004918,Minnesota United FC,207242,806.0148812628524
Chattanooga Red Wolves SC,1004918,Monterey Bay FC,915808,2039.30065799305
Chattanooga Red Wolves SC,1004918,Nashville SC,915807,106.34338531014761
Chattanooga Red Wolves SC,1004918,New Mexico United,1003208,1204.6933017829665
Chattanooga Red Wolves SC,1004918,Orange County SC,267813,1906.509923299916
Chattanooga Red Wolves SC,1004918,Pittsburgh Riverhounds FC,267816,468.65118036771787
Chattanooga Red Wolves SC,1004918,Real Salt Lake City,6606,1497.0849977868006
Chattanooga Red Wolves SC,1004918,San Diego FC,1701119,1828.6814396021655
Chattanooga Red Wolves SC,1004918,Tampa Bay Rowdies,197328,516.2068397737361
Chattanooga Red Wolves SC,1004918,Texoma FC,1701884,652.9350143506624
Chattanooga Red Wolves SC,1004918,Union Omaha,1121685,722.298091846378
Chattanooga Red Wolves SC,1004918,Vancouver Whitecaps FC,307691,2145.3058019754426
Chattanooga Red Wolves SC,1004918,Westchester SC,1706430,730.1184691066137
Chattanooga Red Wolves SC,1004918,Atlanta United FC,773958,89.79349287928585
Chattanooga Red Wolves SC,1004918,CF Montreal,161195,952.833995088501
Chattanooga Red Wolves SC,1004918,Charleston Battery,162183,347.48572940755133
Chattanooga Red Wolves SC,1004918,Charlotte FC,1323940,258.39170604232487
Chattanooga Red Wolves SC,1004918,Colorado Rapids,8314,1123.076245713004
Chattanooga Red Wolves SC,1004918,Colorado Springs Switchbacks FC,614321,1103.4469403091932
Chattanooga Red Wolves SC,1004918,Columbus Crew,6001,364.917801407702
Chattanooga Red Wolves SC,1004918,D.C. United,6602,531.6226484495729
Chattanooga Red Wolves SC,1004918,FC Cincinnati,722265,289.78674076488375
Chattanooga Red Wolves SC,1004918,FC Dallas,6399,673.1592231294209
Chattanooga Red Wolves SC,1004918,FC Tulsa,614325,603.0382227521615
Chattanooga Red Wolves SC,1004918,Hartford Athletic,1003206,826.3699529050131
Chattanooga Red Wolves SC,1004918,Inter Miami CF,960720,682.5715113344842
Chattanooga Red Wolves SC,1004918,Lexington SC,1430405,206.94747677473185
Chattanooga Red Wolves SC,1004918,Los Angeles Galaxy,6637,1874.8034772017297
Chattanooga Red Wolves SC,1004918,Loudoun United FC,1003205,510.54052835503387
Chattanooga Red Wolves SC,1004918,New England Revolution,6580,900.6322715653754
Chattanooga Red Wolves SC,1004918,New York City FC,546238,732.6920549984009
Chattanooga Red Wolves SC,1004918,New York Red Bulls,6514,729.8437001112176
Chattanooga Red Wolves SC,1004918,North Carolina FC,162185,373.394128809774
Chattanooga Red Wolves SC,1004918,Oakland Roots SC,1130413,2053.325212366974
Chattanooga Red Wolves SC,1004918,One Knoxville SC,1358088,101.10939539461222
Chattanooga Red Wolves SC,1004918,Orlando City FC,267810,490.0629750455652
Chattanooga Red Wolves SC,1004918,Philadelphia Union,191716,637.047650265413
Chattanooga Red Wolves SC,1004918,Phoenix Rising FC,424268,1530.8571011468619
Chattanooga Red Wolves SC,1004918,Portland Hearts of Pine,1701883,998.4620438215992
Chattanooga Red Wolves SC,1004918,Portland Timbers,307690,2080.9117504659976
Chattanooga Red Wolves SC,1004918,Rhode Island FC,1597140,888.0660112566406
Chattanooga Red Wolves SC,1004918,Richmond Kickers,267811,469.8851237557601
Chattanooga Red Wolves SC,1004918,Sacramento Republic FC,521004,2007.7222945108356
Chattanooga Red Wolves SC,1004918,San Antonio FC,722269,853.7203353448859
Chattanooga Red Wolves SC,1004918,San Jose Earthquakes,6603,2039.9003199864026
Chattanooga Red Wolves SC,1004918,Seattle Sounders FC,130394,2086.1854628010656
Chattanooga Red Wolves SC,1004918,South Georgia Tormenta FC,727430,272.254392093848
Chattanooga Red Wolves SC,1004918,Spokane Velocity FC,1584038,1864.29701932348
Chattanooga Red Wolves SC,1004918,Sporting Kansas City,6604,580.4127611904635
Chattanooga Red Wolves SC,1004918,St. Louis CITY SC,1427963,366.9459445910116
Chattanooga Red Wolves SC,1004918,Toronto FC,56453,670.4827860922554
Chicago Fire FC,6397,Detroit City FC,540855,249.18157961328268
Chicago Fire FC,6397,El Paso Locomotive FC,1003209,1240.7097144897273
Chicago Fire FC,6397,FC Naples,1701877,1130.134435396801
Chicago Fire FC,6397,Forward Madison FC,1004919,121.34685232606213
Chicago Fire FC,6397,Greenville Triumph SC,1004920,559.7598533196929
Chicago Fire FC,6397,Houston Dynamo FC,8259,929.8752734351488
Chicago Fire FC,6397,Indy Eleven,514649,162.75514119960926
Chicago Fire FC,6397,Las Vegas Lights FC,915809,1514.407462423718
Chicago Fire FC,6397,Los Angeles FC,867280,1740.3276346397274
Chicago Fire FC,6397,Louisville City FC,614316,265.3723718109436
Chicago Fire FC,6397,Miami FC,721896,1185.4514890038786
Chicago Fire FC,6397,Minnesota United FC,207242,356.4971996897188
Chicago Fire FC,6397,Monterey Bay FC,915808,1846.4021708826283
