"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Yeimar Gómez Andrade","SEA","2025","CB","1206","-0.21","-0.27","0.50","-0.02","0.19","0.05","0.24"
"","Gustavo Caraballo","ORL","2025","AM","30","0.03","0.01","0.00","0.06","0.15","-0.01","0.24"
"","Tim Parker","NYRB","2025","CB","271","0.01","0.03","-0.02","0.16","0.03","0.02","0.23"
"","Pedro de la Vega","SEA","2025","W","536","0.01","-0.04","0.31","-0.15","-0.08","0.19","0.23"
"","Ryan Gauld","VAN","2025","W","217","-0.06","-0.03","0.09","0.25","-0.05","0.04","0.23"
"","Kye Rowles","DCU","2025","CB","1152","0.00","0.10","-0.01","0.23","-0.06","-0.03","0.23"
"","Tomás Avilés","MIA","2025","CB","488","0.10","0.02","0.07","0.17","-0.13","0.00","0.23"
"","Dani Pereira","ATX","2025","CM","837","-0.01","-0.02","-0.00","0.34","-0.07","-0.01","0.23"
"","Hamady Diop","SD","2025","FB","239","0.04","-0.01","0.12","0.13","-0.05","-0.00","0.23"
"","Dany Rosero","SKC","2025","CB","184","-0.01","0.02","0.05","0.03","0.10","0.04","0.23"
"","Sam Vines","COL","2025","FB","358","-0.01","0.27","0.15","-0.12","-0.02","-0.05","0.23"
"","Chris Donovan","PHI","2025","ST","254","0.04","0.26","0.07","-0.05","-0.02","-0.08","0.22"
"","Ian Murphy","COL","2025","FB","616","-0.08","0.03","0.47","0.02","-0.14","-0.07","0.22"
"","Lukas MacNaughton","DCU","2025","CB","454","-0.18","0.04","0.08","-0.04","0.21","0.10","0.22"
"","Fabian Herbers","MTL","2025","W","414","0.16","-0.01","-0.01","0.08","-0.02","0.01","0.21"
"","Maxime Chanot","LAFC","2025","CB","74","-0.00","0.01","0.29","-0.06","-0.02","-0.01","0.21"
"","Malte Amundsen","CLB","2025","CB","962","0.18","-0.03","0.38","-0.11","-0.13","-0.08","0.21"
"","Corey Baird","CIN","2025","W","336","-0.09","0.25","-0.07","0.12","-0.00","0.00","0.21"
"","Jansen Miller","SKC","2025","CB","1054","0.14","0.10","0.03","-0.05","0.02","-0.03","0.21"
"","Allen Obando","MIA","2025","ST","176","0.24","0.02","-0.00","-0.02","-0.00","-0.02","0.21"
"","Timothy Tillman","LAFC","2025","CM","1100","0.04","-0.01","0.24","-0.02","-0.05","-0.00","0.20"
"","Noel Caliskan","RSL","2025","FB","335","-0.01","-0.01","0.27","0.14","-0.12","-0.07","0.20"
"","Jamal Thiaré","ATL","2025","ST","300","-0.24","-0.02","-0.12","-0.04","0.56","0.06","0.20"
"","Brayan Vera","RSL","2025","CB","689","0.14","-0.20","0.09","0.08","0.02","0.07","0.20"
"","Alex Roldan","SEA","2025","FB","835","-0.09","0.06","-0.06","-0.08","0.20","0.16","0.19"
"","Daniel Lovitz","NSH","2025","FB","1402","-0.09","-0.21","-0.01","0.48","-0.09","0.11","0.19"
"","Édier Ocampo","VAN","2025","FB","812","-0.03","0.04","0.00","-0.44","0.31","0.30","0.19"
"","Kyle Duncan","NYRB","2025","FB","393","-0.09","0.00","0.30","0.06","-0.05","-0.04","0.19"
"","Robert Voloder","SKC","2025","CB","956","0.08","0.16","0.17","0.07","-0.19","-0.11","0.18"
"","Rodrigo Schlegel","ORL","2025","CB","1236","-0.07","0.10","0.18","0.25","-0.18","-0.11","0.17"
"","Richie Laryea","TOR","2025","FB","125","0.04","0.26","-0.06","-0.08","0.02","-0.02","0.17"
"","Peglow","DCU","2025","W","645","-0.15","0.18","0.30","-0.06","-0.03","-0.09","0.16"
"","Maren Haile-Selassie","CHI","2025","W","235","0.00","-0.00","-0.08","0.18","-0.02","0.08","0.16"
"","Calvin Harris","COL","2025","W","235","0.02","0.02","0.07","-0.11","0.14","0.03","0.16"
"","César Araújo","ORL","2025","DM","907","-0.21","0.04","-0.10","0.26","0.04","0.12","0.15"
"","Diego Rubio","ATX","2025","ST","210","0.01","0.00","0.02","0.32","-0.17","-0.02","0.15"
"","Luis Díaz","NER","2025","W","235","0.04","0.04","0.12","-0.05","-0.03","0.03","0.14"
"","Peyton Miller","NER","2025","FB","654","0.01","0.03","-0.06","-0.22","0.33","0.04","0.14"
"","Philip Zinckernagel","CHI","2025","W","1001","0.27","-0.11","-0.08","-0.16","-0.01","0.23","0.14"
"","Vitor Costa","SJE","2025","FB","686","-0.11","0.01","0.05","-0.20","0.21","0.18","0.14"
"","Patrickson Delgado","FCD","2025","W","347","0.02","-0.01","0.31","0.04","-0.16","-0.06","0.14"
"","Birk Risa","NYC","2025","CB","696","-0.14","0.04","0.42","0.12","-0.22","-0.08","0.13"
"","Jon Bell","SEA","2025","CB","569","0.14","0.03","0.01","0.26","-0.22","-0.09","0.13"
"","Darren Yapi","COL","2025","ST","591","0.09","0.18","0.03","0.01","-0.09","-0.09","0.13"
"","Érik Dueñas","HOU","2025","AM","91","-0.04","-0.00","0.03","0.19","-0.03","-0.02","0.13"
"","Jack Skahan","SJE","2025","DM","12","-0.00","0.00","-0.01","0.01","0.07","0.05","0.12"
